neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,response_second_window
1186,169.0,31.0,1.1236940995734626,4.0868825078572515,2.9631884082837887,560.0,1.2942874847616498e-11,True,activated
1187,169.0,31.0,0.17323104238226503,0.9378358365833696,0.7646047942011045,1875.0,0.019655203797476765,True,activated
1190,169.0,31.0,0.024972773808827713,1.9393479573861743,1.9143751835773466,1068.0,4.507796659859668e-07,True,activated
1191,169.0,31.0,0.58964127098401,2.034512515040519,1.444871244056509,1154.5,2.2175984991362392e-06,True,activated
1192,169.0,31.0,0.9319310750048561,3.269737464738878,2.337806389734022,849.0,6.829802183826522e-09,True,activated
1193,169.0,31.0,0.022118737432157996,0.3583688358625709,0.3362500984304129,2020.5,0.10357112309648084,False,non responder
1194,169.0,31.0,0.3844415443658938,3.071110084549916,2.686668540184022,651.5,9.774942448062881e-11,True,activated
1195,169.0,31.0,0.8378247013273481,0.6347955843408871,-0.20302911698646098,2764.5,1.289426450526282,False,non responder
1196,169.0,31.0,0.09500793148418073,0.6553227168670692,0.5603147853828885,1829.5,0.018686470047088392,True,activated
1197,169.0,31.0,0.4865104247815741,1.266014826528623,0.7795044017470489,1747.5,0.008218632201872696,True,activated
1198,169.0,31.0,0.21705043486789075,0.25817733241051377,0.041126897542623025,2412.5,0.893262766630382,False,non responder
1201,169.0,31.0,0.3550445013378669,1.1242428280618697,0.7691983267240028,1770.5,0.010453649047915622,True,activated
1202,169.0,31.0,1.7445439299563652,9.269514784265072,7.524970854308706,415.5,7.432056918836946e-14,True,activated
1203,169.0,31.0,0.24633009106696568,0.41127701538633543,0.16494692431936975,2384.5,0.8827246249241733,False,non responder
1204,169.0,31.0,0.4798346600873965,1.3209832163363149,0.8411485562489184,1387.5,9.357037359001468e-05,True,activated
1205,169.0,31.0,0.6469609809448391,1.6430604304000516,0.9960994494552124,1696.5,0.00483233775776503,True,activated
1208,169.0,31.0,0.21162282112926775,0.6665822200561203,0.45495939892685255,2033.5,0.06600627135597731,False,non responder
1209,169.0,31.0,0.5935464870509163,1.880051847380551,1.2865053603296346,1544.5,0.00046881514285676036,True,activated
1210,169.0,31.0,0.6724348010875725,3.1648926779622824,2.4924578768747097,1059.5,1.6327073385623336e-07,True,activated
1211,169.0,31.0,0.7671009943739455,1.28187778694269,0.5147767925687445,1528.0,0.0006422376927180956,True,activated
1212,169.0,31.0,0.21436475901856772,1.7446978628191305,1.5303331038005628,1064.5,4.896244828722551e-07,True,activated
1214,169.0,31.0,0.3716239755658295,1.7867331869627119,1.4151092113968824,951.5,5.862884868943711e-08,True,activated
1215,169.0,31.0,0.7115953996674927,2.0306429471608176,1.3190475474933248,1133.5,1.622343648838309e-06,True,activated
1216,169.0,31.0,0.9123950662204756,2.1820312384080687,1.269636172187593,1083.0,6.202684492262816e-07,True,activated
1219,169.0,31.0,0.5875224900908306,1.483009511715647,0.8954870216248164,1637.0,0.002495976461411474,True,activated
1220,169.0,31.0,2.1813227702854796,1.6309058180638627,-0.5504169522216169,2549.5,1.6678277852082328,False,non responder
1221,169.0,31.0,-0.021385667825341348,0.3443762025337992,0.36576187035914054,2185.5,0.3273046402280089,False,non responder
1222,169.0,31.0,-0.16718463729200464,-0.8963903501507696,-0.729205712858765,3727.5,0.0004990040216946708,True,inhibited
1224,169.0,31.0,-0.10678943236691137,-0.8827415169196261,-0.7759520845527147,3593.0,0.0027377666262621853,True,inhibited
1226,169.0,31.0,0.02655859406908172,-0.2970985502101765,-0.32365714427925824,2755.0,1.3635818675008637,False,non responder
1227,169.0,31.0,0.8325188097315022,0.47542655527738215,-0.35709225445412,2540.5,1.6273658067186583,False,non responder
1229,169.0,31.0,-0.25873692092800815,-0.8915045218624119,-0.6327676009344038,3146.0,0.17666163706739316,False,non responder
1230,169.0,31.0,2.120156714460931,2.1389492078030834,0.018792493342152383,2044.5,0.12551099996778978,False,non responder
1231,169.0,31.0,0.8845427848904641,1.1675751434827926,0.28303235859232845,2028.5,0.1109915055965056,False,non responder
1232,169.0,31.0,0.5603110092002079,0.6686531048557887,0.10834209565558073,2234.5,0.4347366347246746,False,non responder
1233,169.0,31.0,0.7368615494347659,1.1180395678834953,0.38117801844872945,1929.5,0.049065919115216496,True,activated
1234,169.0,31.0,0.8651096355433954,-2.1372979429583148,-3.0024075785017104,4784.0,1.007056545474941e-12,True,inhibited
1235,169.0,31.0,0.3874489599996411,-0.13215998444801466,-0.5196089444476557,3022.5,0.39170105436770775,False,non responder
1236,169.0,31.0,1.2300925976544854,2.1258261095426785,0.8957335118881931,1664.0,0.0034324049333145346,True,activated
1237,169.0,31.0,1.3464639096479893,2.2326100301412968,0.8861461204933074,1599.0,0.0015920861522757744,True,activated
1238,169.0,31.0,1.5236018243543783,2.577963562202221,1.0543617378478425,1683.0,0.004236666397279267,True,activated
1240,169.0,31.0,1.965224410226806,6.153688509182835,4.188464098956029,617.5,4.936267574029975e-11,True,activated
1241,169.0,31.0,1.2470939219871873,1.45709489204701,0.21000097005982266,1991.0,0.08261465852172818,False,non responder
1242,169.0,31.0,0.3266513235135687,-0.23727412763543634,-0.563925451149005,3058.0,0.2850951468319378,False,non responder
1244,169.0,31.0,0.11131818169821163,0.007550607540951316,-0.10376757415726032,2673.0,1.7496385765358526,False,non responder
1245,169.0,31.0,-0.05727291282341665,-0.322481378061888,-0.2652084652384713,2895.5,0.7610233350352089,False,non responder
1250,169.0,31.0,1.1496995480207395,3.822356644418731,2.6726570963979914,1043.5,3.104595287765087e-07,True,activated
1255,169.0,31.0,0.6574933417351628,4.655953730640009,3.9984603889048462,676.0,5.1788996174866814e-11,True,activated
1261,169.0,31.0,-0.9674474480813419,-1.172360309189467,-0.20491286110812512,2993.0,0.46086956703292703,False,non responder
1263,169.0,31.0,1.3547391209067494,5.783848665247087,4.429109544340337,712.0,3.685242797732005e-10,True,activated
1264,169.0,31.0,2.60232700395309,18.67956131102841,16.077234307075322,123.5,2.533905440267618e-16,True,activated
1265,169.0,31.0,1.051155652779543,2.811933685027693,1.76077803224815,1069.0,5.196838909290228e-07,True,activated
1266,169.0,31.0,1.4734211679369338,8.04493189228858,6.571510724351647,468.0,1.254396543727501e-12,True,activated
1267,169.0,31.0,-0.6158044873130942,-0.5612512754349787,0.05455321187811557,2488.0,1.3694397841981674,False,non responder
1269,169.0,31.0,-0.6535740422325278,-0.7508265520405876,-0.09725250980805977,2800.0,2.1943369704291924,False,non responder
1270,169.0,31.0,0.7086804192696476,1.877246410993663,1.1685659917240154,1403.0,0.0002201585634053984,True,activated
1272,169.0,31.0,0.0674265953736827,2.3431547486359,2.2757281532622176,805.0,6.106895483946152e-09,True,activated
1273,169.0,31.0,-0.897742656381772,-1.4888629875029635,-0.5911203311211916,3585.0,0.0005648408663303929,True,inhibited
1274,169.0,31.0,0.6612100988371672,1.1421528831616834,0.4809427843245162,2065.0,0.26745434275474594,False,non responder
1276,169.0,31.0,1.3934558661182268,3.666733181730536,2.2732773156123094,964.0,1.4962562388650664e-07,True,activated
1277,169.0,31.0,-0.6197879013685371,-0.45835060383520565,0.16143729753333147,2167.0,0.5184724992961098,False,non responder
1280,169.0,31.0,0.01967942373745557,0.8934951790317689,0.8738157552943133,1763.0,0.01852766021682199,True,activated
1281,169.0,31.0,,,,,,False,non responder
1283,169.0,31.0,1.4238020272582619,3.417467922521134,1.993665895262872,1113.5,2.3178745206558828e-06,True,activated
1284,169.0,31.0,-0.5869800920620867,-0.08482491601969233,0.5021551760423943,1990.0,0.15273070425505114,False,non responder
1285,169.0,31.0,-0.1856941278095762,-0.19342151783792297,-0.00772739002834677,2694.0,2.817183591182602,False,non responder
1287,169.0,31.0,0.7988568341359616,1.3695100139631247,0.570653179827163,1857.5,0.04633045258318633,True,activated
1289,169.0,31.0,2.9568394457425056,2.668356354776163,-0.2884830909663427,2119.0,0.39290684481285,False,non responder
1291,169.0,31.0,1.0035102684469683,2.2582096055227496,1.2546993370757813,1815.5,0.01648978547698661,True,activated
1292,169.0,31.0,0.871599638371262,1.7371175232636602,0.8655178848923982,1790.5,0.023820478677771418,True,activated
1294,169.0,31.0,0.2708990006151172,2.447102494812811,2.1762034941976935,1059.0,4.879331037255075e-07,True,activated
1299,169.0,31.0,2.0255528343988165,3.8619700941312813,1.8364172597324648,1381.0,0.00016788259168065592,True,activated
1301,169.0,31.0,0.4546127466352354,1.4841667017373124,1.029553955102077,1550.5,0.0015594334630186226,True,activated
1302,169.0,31.0,1.2502311285268828,3.025612188444861,1.775381059917978,1137.5,3.4402382027043947e-06,True,activated
1303,169.0,31.0,0.27594207482069805,1.6974057464827272,1.4214636716620292,1187.5,7.910244184802128e-06,True,activated
1305,169.0,31.0,0.5375349788751153,1.3899096079454738,0.8523746290703585,1455.0,0.00032829921174218677,True,activated
1312,169.0,31.0,-0.06547611550329646,-0.17416915950949113,-0.10869304400619467,2769.5,1.7700499033190553,False,non responder
1314,169.0,31.0,1.6071995201678841,4.350170916932349,2.7429713967644647,1050.5,5.897681885169415e-07,True,activated
1315,169.0,31.0,-0.14779318874509106,-0.22800501924828953,-0.08021183050319847,2646.0,3.6035430878386685,False,non responder
1316,169.0,31.0,-0.5243961854148963,-0.8755034196704459,-0.35110723425554957,3083.5,0.49387715175894287,False,non responder
1317,169.0,31.0,2.460164999478189,3.470455182682937,1.0102901832047482,1830.5,0.03591192388263021,True,activated
1318,169.0,31.0,1.4862238130669523,3.798616799276078,2.312392986209126,1185.0,7.619441435976017e-06,True,activated
1319,169.0,31.0,1.1466762535922048,3.545520985391084,2.3988447317988792,882.0,3.044928244189753e-08,True,activated
1320,169.0,31.0,0.35953382686277574,0.4485729409061735,0.08903911404339776,2388.5,1.7740391851989123,False,non responder
1321,169.0,31.0,-0.12714797128679922,0.7741926278125093,0.9013405990993085,1210.0,7.619441435976017e-06,True,activated
1322,169.0,31.0,0.9135175799519534,2.127477894434785,1.213960314482832,1283.0,3.45909538596284e-05,True,activated
1329,169.0,31.0,3.3308407462151477,5.146765912077954,1.8159251658628062,1494.5,0.0007680386215254858,True,activated
1330,169.0,31.0,-1.3205133492186842,-2.013767522821141,-0.6932541736024569,3515.5,0.012605331834965271,True,inhibited
1331,169.0,31.0,-0.08405228324853027,2.419682331196819,2.5037346144453494,550.0,1.9502251659460174e-11,True,activated
1332,169.0,31.0,-0.37617546597697293,-0.7925399806767383,-0.4163645146997653,3203.0,0.21285261956870422,False,non responder
1333,169.0,31.0,0.8644198110509955,3.03894496641996,2.1745251553689644,837.5,5.171581663613929e-09,True,activated
1334,169.0,31.0,1.302976110481083,4.697271523527378,3.3942954130462946,946.5,5.2724818643603075e-08,True,activated
1336,169.0,31.0,3.290122118677496,9.340684933668332,6.050562814990835,1609.0,0.00036767681545309057,True,activated
1338,169.0,31.0,-0.20645815791825164,2.378180188563595,2.5846383464818468,438.0,1.2787612093933334e-12,True,activated
1339,169.0,31.0,-0.6998474454658018,-0.07588403717341351,0.6239634082923883,1798.0,0.02636595904423118,True,activated
1341,169.0,31.0,0.5196494594643759,2.601900106658774,2.082250647194398,1043.5,6.331836347631913e-07,True,activated
1342,169.0,31.0,1.7464462890599461,10.430766028914297,8.68431973985435,246.0,3.0259080069531875e-13,True,activated
1343,169.0,31.0,-0.20165939655295542,0.38104891328742585,0.5827083098403812,1750.5,0.01648978547698661,True,activated
1345,169.0,31.0,6.567595277787898,10.843067610824257,4.275472333036358,1467.5,0.0005542574015697277,True,activated
1347,169.0,31.0,1.5561041657925965,3.933560965832921,2.3774568000403247,992.5,3.4032448331371935e-09,True,activated
1349,169.0,31.0,1.6643334464952544,2.9385463335204034,1.274212887025149,1547.5,0.0015572493732857412,True,activated
1350,169.0,31.0,0.03742667073938947,0.35502790488439184,0.31760123414500235,2023.0,0.19646840432314838,False,non responder
1353,169.0,31.0,0.3587858315513893,-0.2156655464068768,-0.5744513779582661,2805.5,0.5318357691004603,False,non responder
1354,169.0,31.0,0.1820518591093374,0.7422293865368303,0.5601775274274929,2142.5,0.4580353332901972,False,non responder
1356,169.0,31.0,0.1604345097045157,-0.41054297917979926,-0.570977488884315,3241.5,0.16063702009275527,False,non responder
1357,169.0,31.0,0.15627724011317307,0.605661865648756,0.44938462553558295,2079.5,0.296684235923407,False,non responder
1361,169.0,31.0,0.6349145039110727,1.132125704840538,0.49721120092946525,1812.5,0.030405240609427897,True,activated
1363,169.0,31.0,0.4550738988992971,1.3142358880747058,0.8591619891754088,1569.0,0.002011232245277398,True,activated
1364,169.0,31.0,0.8504383621639102,1.7784362536744607,0.9279978915105505,1657.0,0.005886124050974812,True,activated
1366,169.0,31.0,0.20218066840280727,0.9638739250465055,0.7616932566436982,1395.5,0.00020531497025668254,True,activated
1367,169.0,31.0,0.4897599552680583,0.28618525472630335,-0.20357470054175497,2638.0,3.480548664570898,False,non responder
1368,169.0,31.0,0.20279672469528356,-0.25326192290840643,-0.45605864760368997,2961.5,1.022010336785133,False,non responder
1369,169.0,31.0,0.12804703096701442,0.6391091612121712,0.5110621302451568,1821.5,0.03323053185803828,True,activated
1370,169.0,31.0,,,,,,False,non responder
1371,169.0,31.0,,,,,,False,non responder
1373,169.0,31.0,0.8009571815290024,0.7926926457820606,-0.008264535746941859,2366.0,0.8574203033845372,False,non responder
1378,169.0,31.0,0.05438907911241484,0.5966248234750263,0.5422357443626115,2087.5,0.17140715680809493,False,non responder
1379,169.0,31.0,1.130604199424981,0.6047317368362353,-0.5258724625887456,2592.0,1.8748718571178007,False,non responder
1380,169.0,31.0,0.3057363194474394,0.4146495340492293,0.10891321460178988,2308.5,0.6514440492527258,False,non responder
1383,169.0,31.0,1.0535585856949221,0.5404072856231998,-0.5131513000717223,2486.5,1.3694397841981674,False,non responder
1384,169.0,31.0,0.5082536999220698,0.37076207381836757,-0.13749162610370225,2577.5,1.8042581186059268,False,non responder
1385,169.0,31.0,0.8696032223206996,0.19270535243675477,-0.6768978698839448,2773.0,1.285337817608336,False,non responder
1386,169.0,31.0,0.32491519373990424,0.9775872860483992,0.652672092308495,1977.5,0.07412449423263376,False,non responder
1387,169.0,31.0,1.5712323934597248,2.2343613056099354,0.6631289121502106,1752.0,0.008923747896317516,True,activated
1389,169.0,31.0,0.8706086635202178,1.3596794321529229,0.48907076863270504,2091.5,0.17381445598345693,False,non responder
1391,169.0,31.0,,,,,,False,non responder
1392,169.0,31.0,,,,,,False,non responder
1393,169.0,31.0,0.5483615945868309,0.583464478951007,0.03510288436417608,2192.0,0.3397817660935394,False,non responder
1394,169.0,31.0,-0.0463050466000452,1.7266863869544309,1.772991433554476,1230.0,7.940656900683041e-06,True,activated
1395,169.0,31.0,0.04529255664751213,-0.043729624600252245,-0.08902218124776437,2749.5,1.0894142173847827,False,non responder
1398,169.0,31.0,0.23426700987712418,0.1748325601095408,-0.059434449767583386,2517.5,1.5189683621219685,False,non responder
1401,169.0,31.0,-0.23142506802751014,-0.7101335126522206,-0.4787084446247104,3329.0,0.0412102693776396,True,inhibited
1405,169.0,31.0,0.3752680420637139,1.0037318890088933,0.6284638469451794,1675.0,0.003862800045163388,True,activated
1406,169.0,31.0,1.292932990253482,1.485755333520559,0.19282234326707703,2070.5,0.15171693588983598,False,non responder
1407,169.0,31.0,,,,,,False,non responder
1410,169.0,31.0,-0.03133288304937607,0.005600873955100116,0.03693375700447619,2605.5,0.9698801207751767,False,non responder
1412,169.0,31.0,1.1111327811897322,2.857641843769769,1.7465090625800366,1156.0,2.361302503690541e-06,True,activated
1413,169.0,31.0,0.5535569498618524,0.5771633901413664,0.023606440279513974,2407.5,1.0225842559181508,False,non responder
1414,169.0,31.0,0.8702363565725088,2.137882506962486,1.2676461503899774,1686.5,0.004252003425861167,True,activated
1416,169.0,31.0,0.9202090088656067,2.4721513580890626,1.5519423492234559,1335.0,4.209086449069788e-05,True,activated
1417,169.0,31.0,1.3518842153141986,0.6980662052513883,-0.6538180100628103,2589.5,0.9366757604081393,False,non responder
1426,169.0,31.0,1.139480142972707,3.2247688076401384,2.0852886646674316,1150.5,2.103672314657821e-06,True,activated
1434,169.0,31.0,1.8532210442767374,2.488284330324886,0.6350632860481484,1961.5,0.04376796022946918,True,activated
