neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
2019,delta,-3.07,0.72,0.21,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,0.9338187421071444
2019,theta,2.12,0.95,0.7,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,0.9338187421071444
2020,delta,-0.87,0.8,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,FF,55.40471670229096,9.390781743046558,0.8572923156725281
2020,theta,-0.81,0.98,0.02,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,FF,55.40471670229096,9.390781743046558,0.8572923156725281
2021,delta,3.06,0.8,0.1,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,1.213925790196814
2021,theta,-1.9,0.87,0.67,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,1.213925790196814
2022,delta,-1.18,0.88,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,FF,66.2434900525001,17.21129473558048,0.753928698266279
2022,theta,-3.03,0.94,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,FF,66.2434900525001,17.21129473558048,0.753928698266279
2023,delta,-2.94,0.54,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,24.270296779317302,4.773168783253631,0.8012026060843699
2023,theta,0.95,0.98,0.04,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,24.270296779317302,4.773168783253631,0.8012026060843699
2024,delta,3.09,0.42,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,0.7334132554892627,1.0019477489612432
2024,theta,2.03,0.94,0.02,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,0.7334132554892627,1.0019477489612432
2026,delta,3.07,0.46,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,23.572010892244748,2.5240443627657547,0.905621939130564
2026,theta,2.93,0.96,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,23.572010892244748,2.5240443627657547,0.905621939130564
2029,delta,2.91,0.36,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,1.023923494751444
2029,theta,3.0,0.9,0.06,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,,,1.023923494751444
2031,delta,-0.07,0.81,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,32.80894644628529,3.235435205354648,0.7663215493747513
2031,theta,1.63,0.9,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,32.80894644628529,3.235435205354648,0.7663215493747513
2034,delta,-3.12,0.56,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,20.623310278662828,3.9825778900979647,0.8693047441946629
2034,theta,2.41,0.96,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,20.623310278662828,3.9825778900979647,0.8693047441946629
2035,delta,-2.83,0.76,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,26.64393751276492,3.190356758358558,0.8265383271815494
2035,theta,3.08,0.94,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,26.64393751276492,3.190356758358558,0.8265383271815494
2036,delta,3.03,0.68,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,23.0806229284795,5.358555984806884,0.7078652630339172
2036,theta,2.35,0.95,0.0,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SIR,23.0806229284795,5.358555984806884,0.7078652630339172
2037,delta,-0.08,0.98,0.4,hamilton_25,citalopram_discontinuation,HAMILTON,DIS,SR,59.31257001648018,4.157152130218574,0.3333219139415901
