neuron_id,n_sw,n_act,Mean_sw,Mean_act,Diff,U,p,sig,Diff_raw
1235,1153.0,646.0,-0.04,0.08,0.12,374078.0,0.89,False,0.27
1236,1153.0,646.0,-0.4,0.72,1.12,136782.0,0.0,True,4.04
1237,1153.0,646.0,-0.23,0.41,0.64,234393.0,0.0,True,2.12
1238,1153.0,646.0,-0.17,0.3,0.46,268080.0,0.0,True,1.67
1239,1153.0,646.0,-0.16,0.28,0.44,287700.5,0.0,True,0.62
1240,1153.0,646.0,-0.11,0.2,0.31,312836.5,0.0,True,0.7
1241,1153.0,646.0,-0.17,0.3,0.46,270630.0,0.0,True,1.34
1242,1153.0,646.0,-0.22,0.39,0.61,245431.5,0.0,True,0.99
1244,1153.0,646.0,-0.17,0.31,0.48,268963.0,0.0,True,0.8
1245,1153.0,646.0,-0.03,0.06,0.09,361550.5,0.2,False,0.07
1246,1153.0,646.0,0.01,-0.02,-0.03,376518.0,0.56,False,-0.01
1247,1233.0,566.0,-0.08,0.18,0.26,305172.0,0.0,True,0.12
1250,1233.0,566.0,0.08,-0.18,-0.26,392071.5,0.0,True,-0.36
1251,1233.0,566.0,-0.1,0.22,0.32,296421.0,0.0,True,0.23
1254,1233.0,566.0,-0.0,0.0,0.0,348888.5,0.95,False,0.0
1255,1233.0,566.0,0.03,-0.07,-0.1,365789.5,0.07,False,-0.05
1258,1233.0,566.0,-0.04,0.08,0.12,339102.0,0.03,True,0.03
1260,1233.0,566.0,-0.03,0.07,0.11,343228.0,0.03,True,0.02
1261,1233.0,566.0,0.43,-0.93,-1.36,600941.0,0.0,True,-1.55
1263,1233.0,566.0,0.07,-0.15,-0.22,390282.0,0.0,True,-0.14
1264,1233.0,566.0,-0.03,0.06,0.09,330297.5,0.08,False,0.12
1265,1233.0,566.0,-0.22,0.47,0.69,211135.0,0.0,True,0.69
1266,1233.0,566.0,0.09,-0.19,-0.27,404452.5,0.0,True,-0.34
