pop_true,shuffle,session_name,window,window_start,window_stop
0.47366903791747517,0.47378878227037596,hamilton_23,1.0 - 1.1,1.1,1.1
0.47368280919633926,0.4737928700039827,hamilton_07,1.0 - 1.1,1.1,1.1
0.477454681016952,0.4737587623002875,hamilton_08,1.0 - 1.1,1.1,1.1
0.48133017282781926,0.4737400968330463,hamilton_19,1.0 - 1.1,1.1,1.1
0.4964221723386615,0.4737796420218967,hamilton_20,1.0 - 1.1,1.1,1.1
0.47362640257426697,0.4738059963748794,hamilton_01,1.1 - 1.2,1.2,1.2
0.47371683715464136,0.47400670775798537,hamilton_02,1.1 - 1.2,1.2,1.2
0.47362523840156473,0.4738106116825948,hamilton_13,1.1 - 1.2,1.2,1.2
0.47782927386603324,0.4778178834559396,hamilton_14,1.1 - 1.2,1.2,1.2
0.4736164258241192,0.47378333266353695,hamilton_23,1.1 - 1.2,1.2,1.2
0.4736789999592842,0.47382313130337184,hamilton_07,1.1 - 1.2,1.2,1.2
0.47787011530196677,0.4739383063931514,hamilton_08,1.1 - 1.2,1.2,1.2
0.4756368024690657,0.4739130681712256,hamilton_19,1.1 - 1.2,1.2,1.2
0.5039976873083809,0.47372064921574314,hamilton_20,1.1 - 1.2,1.2,1.2
0.4736160986063667,0.47381933893226,hamilton_01,1.2 - 1.3,1.3,1.3
0.4759078209967263,0.4740009900403581,hamilton_02,1.2 - 1.3,1.3,1.3
0.4754741750960597,0.47377806580786314,hamilton_13,1.2 - 1.3,1.3,1.3
0.4778224645864245,0.47786586472807824,hamilton_14,1.2 - 1.3,1.3,1.3
0.4737144303264122,0.4737571121438182,hamilton_23,1.2 - 1.3,1.3,1.3
0.4736775688012086,0.47388286284427494,hamilton_07,1.2 - 1.3,1.3,1.3
0.4736188058648187,0.47383548896838446,hamilton_08,1.2 - 1.3,1.3,1.3
0.4773326643620567,0.4738388112558216,hamilton_19,1.2 - 1.3,1.3,1.3
0.4758127627542474,0.4738470672340744,hamilton_20,1.2 - 1.3,1.3,1.3
0.47358504008260943,0.4739201744254565,hamilton_01,1.3 - 1.4,1.4,1.4
0.4737821368907781,0.47402552645881646,hamilton_02,1.3 - 1.4,1.4,1.4
0.47367678317491035,0.4739163275799529,hamilton_13,1.3 - 1.4,1.4,1.4
0.4774200773268481,0.4775147426683488,hamilton_14,1.3 - 1.4,1.4,1.4
0.47365571463590683,0.473791824120503,hamilton_23,1.3 - 1.4,1.4,1.4
